"","sumPrecip","station_id","genLineType","Lat","Long","STATION_DESCRIPTIVE_NAME","rides"
"69",0.1,"40740","Pink Line",41.854225,-87.685129,"Western (Pink Line)",1227
"70",0.1,"40750","Blue Line",41.98227,-87.8089,"Harlem (Blue Line - O'Hare Branch)",1862
"71",0.1,"40760","Red Line",41.993664,-87.659202,"Granville (Red Line)",4666
"72",0.1,"40770","Red Line",41.969139,-87.658493,"Lawrence (Red Line)",0
"73",0.1,"40780","Pink Line",41.853839,-87.714842,"Central Park (Pink Line)",1139
"74",0.1,"40790","Blue Line",41.880703,-87.629378,"Monroe (Blue Line)",3153
"75",0.1,"40800","Multiple Lines",41.910409,-87.639302,"Sedgwick (Brown & Purple lines)",3820
"76",0.1,"40810","Blue Line",41.875706,-87.673932,"Illinois Medical District (Blue Line)",1857
"77",0.1,"40820","Blue Line",41.983507,-87.859388,"Rosemont (Blue Line)",5891
"78",0.1,"40830","Pink Line",41.857908,-87.669147,"18th (Pink Line)",2486
"79",0.1,"40840","Purple Line",42.027612,-87.678329,"South Boulevard (Purple Line)",606
"80",0.1,"40850","Multiple Lines",41.876862,-87.628196,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",2819
"81",0.1,"40870","Brown Line",41.966046,-87.701644,"Francisco (Brown Line)",1275
"82",0.1,"40880","Red Line",41.990259,-87.659076,"Thorndale (Red Line)",2702
"83",0.1,"40890","Blue Line",41.97766526,-87.90422307,"O'Hare (Blue Line)",19770
"84",0.1,"40900","Multiple Lines",42.019063,-87.672892,"Howard (Red, Purple & Yellow lines)",5689
"85",0.1,"40910","Red Line",41.780536,-87.630952,"63rd (Red Line)",2792
"86",0.1,"40920","Blue Line",41.873797,-87.725663,"Pulaski (Blue Line)",2465
"87",0.1,"40930","Orange Line",41.78661,-87.737875,"Midway (Orange Line)",5905
"88",0.1,"40940","Green Line",41.778943,-87.644244,"Halsted (Green Line)",410
"89",0.1,"40960","Orange Line",41.799756,-87.724493,"Pulaski (Orange Line)",3424
"90",0.1,"40970","Blue Line",41.871574,-87.745154,"Cicero (Blue Line)",1186
"91",0.1,"40980","Blue Line",41.87349,-87.806961,"Harlem (Blue Line - Forest Park Branch)",608
"92",0.1,"40990","Red Line",41.768367,-87.625724,"69th (Red Line)",4014
"93",0.1,"41000","Red Line",41.853206,-87.630968,"Cermak-Chinatown (Red Line)",8169
"94",0.1,"41010","Brown Line",41.966115,-87.6941,"Rockwell (Brown Line)",1228
"95",0.1,"41020","Blue Line",41.929728,-87.708541,"Logan Square (Blue Line)",5627
"96",0.1,"41030","Pink Line",41.871551,-87.66953,"Polk (Pink Line)",1441
"97",0.1,"41040","Pink Line",41.853964,-87.705408,"Kedzie (Pink Line)",1142
"98",0.1,"41050","Purple Line",42.073153,-87.69073,"Linden (Purple Line)",736
"99",0.1,"41060","Orange Line",41.839234,-87.665317,"Ashland (Orange Line)",1527
"100",0.1,"41070","Green Line",41.884321,-87.706155,"Kedzie (Green Line)",1174
"101",0.1,"41080","Green Line",41.809209,-87.618826,"47th (Green Line)",891
"102",0.1,"41090","Red Line",41.880745,-87.627696,"Monroe (Red Line)",5453
"103",0.1,"41120","Green Line",41.831677,-87.625826,"35th-Bronzeville-IIT (Green Line)",1571
"104",0.1,"41130","Orange Line",41.84678,-87.648088,"Halsted (Orange Line)",1738
"105",0.1,"41140","Green Line",41.78013,-87.615546,"King Drive (Green Line)",250
"106",0.1,"41150","Orange Line",41.804236,-87.704406,"Kedzie (Orange Line)",2752
"107",0.1,"41160","Multiple Lines",41.885678,-87.641782,"Clinton (Green & Pink lines)",2596
"108",0.1,"41170","Red Line",41.79542,-87.631157,"Garfield (Red Line)",2644
"109",0.1,"41180","Brown Line",41.965996,-87.708821,"Kedzie (Brown Line)",2265
"110",0.1,"41190","Red Line",42.015876,-87.669092,"Jarvis (Red Line)",1847
"111",0.1,"41200","Red Line",41.973453,-87.65853,"Argyle (Red Line)",5676
"112",0.1,"41210","Multiple Lines",41.936033,-87.653266,"Wellington (Brown & Purple lines)",2154
"113",0.1,"41220","Multiple Lines",41.925051,-87.652866,"Fullerton (Red, Brown & Purple lines)",13594
"114",0.1,"41230","Red Line",41.810318,-87.63094,"47th (Red Line)",2595
"115",0.1,"41240","Blue Line",41.94738,-87.71906,"Addison (Blue Line)",1830
"116",0.1,"41250","Purple Line",42.063987,-87.685617,"Central (Purple Line)",649
"117",0.1,"41260","Green Line",41.887293,-87.774135,"Austin (Green Line)",1446
"118",0.1,"41270","Green Line",41.816462,-87.619021,"43rd (Green Line)",822
"119",0.1,"41280","Blue Line",41.970634,-87.760892,"Jefferson Park (Blue Line)",5852
"120",0.1,"41290","Brown Line",41.967901,-87.713065,"Kimball (Brown Line)",4343
"121",0.1,"41300","Red Line",42.001073,-87.661061,"Loyola (Red Line)",6269
"122",0.1,"41310","Brown Line",41.943623,-87.670907,"Paulina (Brown Line)",2228
"123",0.1,"41320","Multiple Lines",41.939751,-87.65338,"Belmont (Red, Brown & Purple lines)",15929
"124",0.1,"41330","Blue Line",41.961539,-87.743574,"Montrose (Blue Line)",1608
"125",0.1,"41340","Blue Line",41.875568,-87.631722,"LaSalle (Blue Line)",2203
"126",0.1,"41350","Green Line",41.886988,-87.793783,"Oak Park (Green Line)",970
"127",0.1,"41360","Green Line",41.88422,-87.696234,"California (Green Line)",833
"128",0.1,"41380","Red Line",41.983504,-87.65884,"Bryn Mawr (Red Line)",4373
"129",0.1,"41400","Multiple Lines",41.867368,-87.627402,"Roosevelt (Red, Orange & Green lines)",13180
"130",0.1,"41400","Multiple Lines",41.867405,-87.62659,"Roosevelt (Red, Orange & Green lines)",13180
"131",0.1,"41410","Blue Line",41.896075,-87.655214,"Chicago (Blue Line)",2846
"132",0.1,"41420","Red Line",41.947428,-87.653626,"Addison (Red Line)",12898
"133",0.1,"41430","Red Line",41.735372,-87.624717,"87th (Red Line)",3477
"134",0.1,"41440","Brown Line",41.947028,-87.674642,"Addison (Brown Line)",1552
"135",0.1,"41450","Red Line",41.896671,-87.628176,"Chicago (Red Line)",14963
"136",0.1,"41460","Brown Line",41.954521,-87.674868,"Irving Park (Brown Line)",2039
"137",0.1,"41480","Brown Line",41.966163,-87.688502,"Western (Brown Line)",3696
"138",0.1,"41490","Red Line",41.874039,-87.627479,"Harrison (Red Line)",4570
"139",0.1,"41500","Brown Line",41.961756,-87.675047,"Montrose (Brown Line)",2094
"140",0.1,"41510","Multiple Lines",41.885586,-87.652193,"Morgan (Green & Pink lines)",5655
"141",0.1,"41660","Red Line",41.884809,-87.627813,"Lake (Red Line)",17188
"142",0.1,"41670","Green Line",41.884904,-87.716523,"Conservatory (Green Line)",1806
"143",0.1,"41680","Yellow Line",42.02624348,-87.74722084,"Oakton-Skokie (Yellow Line)",503
"144",0.1,"41690","Green Line",41.853115,-87.626402,"Cermak-McCormick Place (Green Line)",2604
"145",0.1,"41700","Multiple Lines",41.88322,-87.626189,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",10477
"146",0.2,"40010","Blue Line",41.870851,-87.776812,"Austin (Blue Line)",745
"147",0.2,"40020","Green Line",41.886848,-87.803176,"Harlem/Lake (Green Line)",1987
"148",0.2,"40030","Green Line",41.885412,-87.725404,"Pulaski (Green Line)",852
"149",0.2,"40040","Multiple Lines",41.878723,-87.63374,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",2157
"150",0.2,"40050","Purple Line",42.04771,-87.683543,"Davis (Purple Line)",2036
"151",0.2,"40060","Blue Line",41.938132,-87.712359,"Belmont (Blue Line)",3050
"152",0.2,"40070","Blue Line",41.878183,-87.629296,"Jackson (Blue Line)",3886
"153",0.2,"40080","Red Line",41.953775,-87.654929,"Sheridan (Red Line)",3100
"154",0.2,"40090","Brown Line",41.966286,-87.678639,"Damen (Brown Line)",1251
"155",0.2,"40100","Red Line",42.008362,-87.665909,"Morse (Red Line)",2765
"156",0.2,"40120","Orange Line",41.829353,-87.680622,"35th/Archer (Orange Line)",1660
"157",0.2,"40130","Green Line",41.80209,-87.618487,"51st (Green Line)",559
"158",0.2,"40140","Yellow Line",42.038951,-87.751919,"Dempster-Skokie  (Yellow Line)",1122
"159",0.2,"40150","Pink Line",41.853732,-87.724311,"Pulaski (Pink Line)",692
